"OrderLineID","OrderID","CustomerID","ProductID","OrderDate","Qty","UnitDiscountPercent","ExtRevenue"
1,3,1740,2374,2005-01-01,1,"NULL",475.15
2,2,831,2498,2005-01-01,1,"NULL",224.82
1,2,831,2959,2005-01-01,1,"NULL",323.49
1,1,964,16,2005-01-01,1,"NULL",123.41
1,1026,1300,3908,2005-01-02,1,"NULL",39.07
1,1025,597,330,2005-01-02,2,"NULL",191.82
1,1024,1092,59,2005-01-02,1,"NULL",118.75
1,1023,1061,5942,2005-01-02,1,"0.14000000000000001",195.951
2,2059,1272,1045,2005-01-03,1,"NULL",430.02
1,2059,1272,205,2005-01-03,1,"NULL",201.66
1,2058,1234,7192,2005-01-03,1,"NULL",116.45
1,2056,1938,2770,2005-01-03,1,"NULL",153.72
1,2328,1353,816,2005-01-04,1,"NULL",56.03
1,2330,410,1773,2005-01-04,1,"NULL",275.88
1,2331,1168,7514,2005-01-04,1,"NULL",12.63
2,2330,410,6790,2005-01-04,1,"NULL",448.63
1,2327,300,1890,2005-01-04,1,"NULL",366.83
1,2430,1643,2194,2005-01-05,1,"NULL",33.13
2,2510,1953,2697,2005-01-06,1,"NULL",216.18
1,2510,1953,6538,2005-01-06,1,"NULL",161.67
1,2613,689,5398,2005-01-07,1,"NULL",226.3
2,2612,267,5127,2005-01-07,3,"NULL",276.21
1,2612,267,5568,2005-01-07,1,"NULL",322.98
1,2611,324,2222,2005-01-07,1,"NULL",147.36
2,2700,1963,4717,2005-01-08,1,"NULL",347.47
1,2701,1066,5794,2005-01-08,1,"NULL",189.99
1,2700,1963,653,2005-01-08,1,"NULL",76.61
1,2699,1808,1314,2005-01-08,3,"NULL",567
1,2776,1498,6681,2005-01-09,1,"NULL",73.18
1,2777,816,4536,2005-01-09,1,"NULL",229.16
1,83549,1092,3842,2005-01-09,1,"NULL",408.27
2,2775,760,3220,2005-01-09,1,"NULL",57.3
1,2775,760,1519,2005-01-09,1,"NULL",73.18
1,2774,1605,5737,2005-01-09,1,"NULL",62.78
1,59,855,3049,2005-01-10,1,"NULL",425.7
1,60,1035,2478,2005-01-10,1,"NULL",448.92
2,61,592,6680,2005-01-10,1,"NULL",88.56
1,2610,547,2826,2005-01-10,1,"NULL",9.81
1,61,592,1464,2005-01-10,2,"NULL",94.04
2,2511,422,1742,2005-01-11,1,"NULL",310.91
1,2511,422,3849,2005-01-11,1,"NULL",260.48
1,151,1858,4060,2005-01-11,1,"NULL",34.9
1,2329,25,2918,2005-01-12,1,"0.13",221.4846
2,2329,25,3143,2005-01-12,1,"0.13",97.9794
1,240,1902,1083,2005-01-12,1,"NULL",357.29
1,241,1003,7309,2005-01-12,1,"NULL",228.6
2,241,1003,6817,2005-01-12,1,"NULL",313.71
1,242,238,7128,2005-01-12,1,"NULL",362.15
2,242,238,7599,2005-01-12,1,"NULL",359.73
1,332,1586,2076,2005-01-13,4,"NULL",514.04
1,333,1803,3708,2005-01-13,1,"NULL",318.41
1,335,83,673,2005-01-13,4,"0.05",1689.442
1,2057,1720,6233,2005-01-13,1,"NULL",97.31
1,337,56,5938,2005-01-13,1,"0.01",50.6979
2,337,56,6964,2005-01-13,1,"0.01",280.0116
3,83827,410,4441,2005-01-14,4,"NULL",1836.2
2,83827,410,3289,2005-01-14,1,"NULL",234.77
1,83827,410,1401,2005-01-14,1,"NULL",469.14
1,428,631,5154,2005-01-14,4,"NULL",1776.28
1,429,16,2088,2005-01-14,1,"0.16",407.7612
2,427,1479,7156,2005-01-14,1,"NULL",374.69
1,427,1479,4429,2005-01-14,1,"NULL",264.22
2,429,16,1430,2005-01-14,1,"0.16",403.326
1,426,828,478,2005-01-14,1,"NULL",120.62
1,336,125,2260,2005-01-15,1,"NULL",423.62
1,603,384,3578,2005-01-16,1,"NULL",223.58
1,334,1579,2706,2005-01-16,3,"NULL",733.11
1,604,438,174,2005-01-16,3,"NULL",468.78
2,603,384,651,2005-01-16,3,"NULL",854.49
1,704,398,5760,2005-01-17,1,"NULL",257.8
1,703,715,4979,2005-01-17,1,"NULL",43.64
1,702,1426,5442,2005-01-17,3,"NULL",347.16
1,813,679,3973,2005-01-18,1,"NULL",46.15
1,814,248,5833,2005-01-18,1,"NULL",61.77
1,816,906,7032,2005-01-18,1,"NULL",362.01
1,425,329,3031,2005-01-18,1,"NULL",358.8
1,927,1238,6323,2005-01-19,1,"NULL",487.27
1,926,702,5829,2005-01-19,1,"NULL",246.18
1,1115,1053,3011,2005-01-20,1,"NULL",207.15
1,812,1713,6564,2005-01-20,1,"NULL",117.75
1,1116,458,1114,2005-01-20,1,"NULL",276.93
2,812,1713,5018,2005-01-20,3,"NULL",845.13
2,1116,458,2521,2005-01-20,1,"NULL",196.16
1,1226,1140,5701,2005-01-21,1,"NULL",153.53
1,1227,969,2198,2005-01-21,1,"NULL",471.95
1,1228,851,4382,2005-01-21,2,"NULL",441.5
1,1323,672,5543,2005-01-22,1,"NULL",167.68
1,1322,1191,6661,2005-01-22,1,"NULL",340.42
1,1321,888,4475,2005-01-22,1,"NULL",369.25
1,1320,526,990,2005-01-22,1,"NULL",206.04
1,1411,954,771,2005-01-23,1,"NULL",237.28
1,1412,527,999,2005-01-24,1,"NULL",63.02
1,928,1042,7960,2005-01-24,1,"NULL",433.89
1,1497,555,5328,2005-01-24,1,"NULL",241.56
1,1604,459,683,2005-01-25,3,"NULL",447.45
1,1605,365,4404,2005-01-25,1,"NULL",193.08
1,1603,1513,7149,2005-01-25,1,"NULL",391.9
2,815,124,5381,2005-01-25,1,"NULL",224.87
1,815,124,7748,2005-01-25,2,"NULL",593.84
1,1692,103,7356,2005-01-26,1,"NULL",263.54
1,1691,1403,5802,2005-01-26,1,"NULL",247.86
1,1690,918,108,2005-01-26,1,"NULL",265.96
1,925,644,5700,2005-01-26,1,"NULL",160.15
1,1788,210,4242,2005-01-27,1,"NULL",348.86
1,1787,1853,1394,2005-01-27,1,"NULL",358.51
1,1873,23,4884,2005-01-28,1,"0.28999999999999998",200.8661
1,1874,1360,5228,2005-01-28,1,"NULL",330.58
1,1875,1836,5888,2005-01-28,1,"NULL",319.13
1,1876,899,7882,2005-01-28,1,"NULL",366.88
1,1878,1442,4590,2005-01-28,1,"NULL",39.16
1,1877,175,4010,2005-01-28,4,"NULL",324.48
1,1962,1855,1601,2005-01-29,1,"NULL",460.75
1,1963,608,6417,2005-01-29,1,"NULL",268.26
1,1964,1018,3176,2005-01-29,1,"NULL",22.16
2,63231,715,2039,2005-01-30,1,"NULL",164.82
1,63231,715,2893,2005-01-30,2,"NULL",61.48
1,2177,1380,5701,2005-01-30,1,"NULL",153.53
2,2269,362,341,2005-01-31,1,"NULL",75.96
1,2269,362,7030,2005-01-31,1,"NULL",464.63
1,2268,571,5218,2005-01-31,1,"NULL",188.46
1,17237,1736,2705,2005-02-01,1,"NULL",359.79
1,2178,1197,3343,2005-02-01,1,"NULL",20.41
1,1606,161,3871,2005-02-01,1,"NULL",28.38
2,1606,161,75,2005-02-01,1,"NULL",139.04
1,17236,1436,3986,2005-02-01,4,"NULL",699.92
1,17235,1670,5715,2005-02-01,1,"NULL",335.28
1,1689,1311,7487,2005-02-01,1,"NULL",128.64
1,19322,453,2069,2005-02-02,1,"NULL",118.68
1,19321,1669,3161,2005-02-02,1,"NULL",221.1
1,19323,849,1131,2005-02-02,1,"NULL",5.36
1,19324,1594,6754,2005-02-02,3,"NULL",1135.14
1,21709,1709,3920,2005-02-03,1,"NULL",302.18
1,21708,1872,3977,2005-02-03,3,"NULL",1062.87
1,21706,1268,4336,2005-02-03,1,"NULL",388.83
1,21707,24,3691,2005-02-03,1,"0.17",104.3476
1,21705,1166,200,2005-02-03,1,"NULL",236.62
1,21925,1993,3223,2005-02-04,1,"NULL",112.03
2,21925,1993,4801,2005-02-04,1,"NULL",91.28
1,21927,1592,4152,2005-02-04,1,"NULL",143.56
1,21928,1711,7331,2005-02-04,1,"NULL",107.59
2,21928,1711,278,2005-02-04,1,"NULL",107.17
1,21929,1098,4931,2005-02-04,3,"NULL",461.37
2,22109,605,3088,2005-02-05,1,"NULL",374.5
1,22109,605,7197,2005-02-05,1,"NULL",456.07
1,22110,857,1508,2005-02-05,1,"NULL",248.19
1,22111,1682,974,2005-02-05,1,"NULL",199.18
1,22106,1751,3844,2005-02-05,1,"NULL",410.82
1,22306,794,6923,2005-02-06,1,"NULL",301.14
1,22305,1440,5997,2005-02-06,1,"NULL",242.56
2,22306,794,6737,2005-02-06,1,"NULL",7.39
1,22307,1811,7360,2005-02-06,1,"NULL",246.3
2,22303,511,408,2005-02-06,2,"NULL",383.3
1,22304,30,3967,2005-02-06,1,"0.16",160.3056
1,22303,511,3171,2005-02-06,1,"NULL",126.96
1,22302,141,4281,2005-02-06,1,"NULL",101.47
1,22301,88,5281,2005-02-06,1,"0.12",76.032
2,22300,1852,7293,2005-02-06,1,"NULL",316.58
1,22300,1852,4930,2005-02-06,1,"NULL",208.12
2,22298,1816,6627,2005-02-06,1,"NULL",359.7
1,22298,1816,384,2005-02-06,1,"NULL",30.45
1,21926,1545,2973,2005-02-07,1,"NULL",8.39
2,21926,1545,4872,2005-02-07,1,"NULL",388.97
1,22512,889,7685,2005-02-07,2,"0.21",310.1698
1,22511,950,7237,2005-02-07,3,"NULL",198.9
1,22107,1187,5654,2005-02-07,1,"NULL",117.14
1,22513,1899,1164,2005-02-07,1,"NULL",195.52
1,22514,971,1530,2005-02-07,1,"NULL",273.96
2,2270,1987,2198,2005-02-08,1,"NULL",471.95
1,2270,1987,1293,2005-02-08,3,"NULL",874.35
1,1961,1551,4346,2005-02-08,1,"NULL",439.18
1,22669,1641,3413,2005-02-08,1,"NULL",38.34
1,22670,649,2670,2005-02-08,1,"NULL",164.87
1,22668,1258,299,2005-02-08,1,"NULL",221.7
1,22667,1569,4808,2005-02-08,3,"NULL",815.58
1,22666,1950,6130,2005-02-08,3,"NULL",560.97
2,22842,1570,2027,2005-02-09,3,"NULL",902.1
1,22842,1570,2087,2005-02-09,1,"NULL",227.09
1,22841,1211,6652,2005-02-09,1,"NULL",171.01
1,22840,1297,2124,2005-02-09,1,"NULL",166.27
2,22840,1297,5298,2005-02-09,1,"NULL",351.92
1,22838,172,7712,2005-02-09,1,"NULL",157.86
1,22839,1460,7214,2005-02-09,1,"NULL",335.22
1,22835,1680,5154,2005-02-09,1,"NULL",444.07
1,22837,612,5672,2005-02-09,1,"NULL",271.1
1,22836,1142,4971,2005-02-09,3,"NULL",860.16
1,17238,990,7629,2005-02-09,1,"NULL",401.55
1,17324,488,1908,2005-02-10,1,"NULL",211.63
1,22515,1054,7640,2005-02-10,1,"NULL",287.62
1,17325,1114,2636,2005-02-10,1,"NULL",440.43
2,17325,1114,4493,2005-02-10,1,"NULL",31.24
1,17326,1488,5005,2005-02-10,2,"NULL",369.36
1,17514,224,4026,2005-02-11,1,"NULL",218.43
2,17515,105,1150,2005-02-11,4,"NULL",387.16
1,17515,105,1002,2005-02-11,1,"NULL",387.13
1,17517,967,2401,2005-02-11,1,"NULL",468.6
1,17516,767,3679,2005-02-11,1,"NULL",460.9
1,17719,1557,5887,2005-02-12,1,"NULL",402.78
1,17721,1415,63,2005-02-12,1,"NULL",231.42
1,63616,899,6471,2005-02-12,1,"NULL",242.14
1,17720,836,1296,2005-02-12,1,"NULL",373.53
1,17723,137,2659,2005-02-12,1,"NULL",134.43
2,17721,1415,2791,2005-02-12,1,"NULL",357.93
2,17724,946,1821,2005-02-12,1,"NULL",177.17
1,17724,946,4521,2005-02-12,1,"NULL",272.67
1,17726,735,2954,2005-02-12,4,"NULL",385.08
1,17725,787,1707,2005-02-12,1,"NULL",482.71
1,17727,163,3566,2005-02-12,1,"NULL",25.8
1,17728,1151,1230,2005-02-12,1,"NULL",277.88
1,22108,123,4203,2005-02-12,1,"NULL",143.91
