"Year","SourceID","MarketingCost"
2005,1,16169
2005,2,20667
2005,3,9058
2005,4,33891
2005,5,29393
2005,6,25531
2006,1,49298
2006,2,55953
2006,3,24643
2006,4,82012
2006,5,72425
2006,6,59652
2007,1,98950
2007,2,97042
2007,3,45752
2007,4,158450
2007,5,122090
2007,6,102716
2008,1,54800
2008,2,63937
2008,3,39895
2008,4,109660
2008,5,82555
2008,6,60284
2009,1,83539
2009,2,87797
2009,3,33917
2009,4,114425
2009,5,70554
2009,6,64944
2010,1,99343
2010,2,94730
2010,3,32192
2010,4,99722
2010,5,79322
2010,6,64088
2011,1,83107
2011,2,109013
2011,3,26601
2011,4,69563
2011,5,61811
2011,6,46234
