"ProductID","ProductPrice","ProductCost"
1,138.53,134.3741
2,67.34,53.1986
3,7.61,6.088
4,246.87,202.4334
5,25.9,23.828
6,10.49,10.2802
7,280,263.2
8,463.85,412.8265
9,471.57,405.5502
10,443.76,377.196
11,367.58,349.201
12,78.01,65.5284
13,202.31,176.0097
14,350.57,336.5472
15,421.25,408.6125
16,123.41,108.6008
17,449.34,359.472
18,337.38,280.0254
19,469.56,441.3864
20,176.32,160.4512
21,162.45,159.201
22,463.96,371.168
23,18.85,17.5305
24,199.11,163.2702
25,76.37,75.6063
26,168.44,160.018
27,320.74,311.1178
28,40.17,33.7428
29,85.08,83.3784
30,157.56,119.7456
31,79.3,62.647
32,54.99,52.7904
33,248.91,243.9318
34,399.77,383.7792
35,81.42,64.3218
36,39.19,37.6224
37,386.99,336.6813
38,439.77,417.7815
39,121.82,105.9834
40,69.51,52.8276
41,481.65,452.751
42,413.35,376.1485
43,12.68,12.5532
44,237.49,180.4924
45,242.78,211.2186
46,186.89,142.0364
47,312.32,237.3632
48,437.47,393.723
49,372.7,361.519
50,161.23,130.5963
51,57.65,44.967
52,239.26,224.9044
53,278.55,259.0515
54,450.27,382.7295
55,462.91,449.0227
56,21.47,19.5377
57,417.16,342.0712
58,275.22,209.1672
59,118.75,98.5625
60,59.38,54.6296
61,141.78,140.3622
62,403.21,354.8248
63,231.42,187.4502
64,174.41,169.1777
65,226.88,170.16
66,30.42,24.336
67,388.75,311
68,162.2,152.468
69,347.31,340.3638
70,11.47,9.8642
71,182.95,140.8715
72,319.54,303.563
73,376.11,319.6935
74,212.83,191.547
75,139.04,120.9648
76,44.42,37.757
77,127.58,96.9608
78,327.09,307.4646
79,175.61,156.2929
80,350.94,340.4118
81,317.72,254.176
82,86.76,69.408
83,461.23,396.6578
84,174.36,169.1292
85,22.42,20.178
86,323.83,255.8257
87,352.63,334.9985
88,419.02,393.8788
89,426.71,362.7035
90,129.8,119.416
91,471.13,358.0588
92,274.45,255.2385
93,389.77,354.6907
94,368.9,306.187
95,157.08,152.3676
96,27.44,26.068
97,364.08,298.5456
98,230.57,175.2332
99,380.09,349.6828
100,368.79,313.4715
101,146.79,126.2394
102,382.98,375.3204
103,61.82,58.729
104,86.21,76.7269
105,432.27,354.4614
106,354.86,344.2142
107,489.24,406.0692
108,265.96,220.7468
109,146.8,139.46
110,117.72,108.3024
111,161.81,150.4833
112,399,379.05
113,333.38,273.3716
114,307.49,242.9171
115,48.15,40.446
116,404.53,339.8052
117,487.1,375.067
118,77.19,64.8396
119,48.74,38.992
120,3.49,3.0712
121,306.76,239.2728
122,92.21,82.0669
123,322.34,312.6698
124,48.05,43.245
125,365.83,278.0308
126,283.15,254.835
127,441.84,388.8192
128,215.86,189.9568
129,95.78,76.624
130,245.58,235.7568
131,245.24,208.454
132,428.33,346.9473
133,8.34,6.255
134,170.1,154.791
135,348.57,299.7702
136,115.7,107.601
137,291.39,273.9066
138,263.18,242.1256
139,227.46,220.6362
140,14.5,11.31
141,214.85,165.4345
142,88.65,82.4445
143,35.9,29.797
144,163.43,132.3783
145,189.5,145.915
146,72.14,54.8264
147,375.43,289.0811
148,28.21,23.4143
149,87.45,78.705
150,203.49,181.1061
151,430.77,344.616
152,430.15,400.0395
153,248.04,213.3144
154,207.85,191.222
155,29.83,29.2334
156,393.99,390.0501
157,162.71,123.6596
158,98.31,84.5466
159,385.24,319.7492
160,308.26,262.021
161,79.78,67.813
162,314.87,280.2343
163,170.47,167.0606
164,189.64,178.2616
165,104.43,96.0756
166,281.04,264.1776
167,329.87,300.1817
168,184.96,153.5168
169,317.84,314.6616
170,431.95,418.9915
171,131.14,129.8286
172,267.58,232.7946
173,352.28,341.7116
174,156.26,120.3202
175,288.24,230.592
176,393.51,373.8345
177,62.32,61.0736
178,257.61,224.1207
179,370.5,285.285
180,59.57,55.4001
181,111.19,83.3925
182,239.19,208.0953
183,283.47,274.9659
184,481.77,419.1399
185,32.61,29.349
186,160.74,122.1624
187,479.05,368.8685
188,301.69,241.352
189,440.96,379.2256
190,94.73,71.9948
191,34.22,32.1668
192,15.85,12.363
193,154.58,139.122
194,136.33,104.9741
195,456.4,438.144
196,364.58,298.9556
197,456.29,396.9723
198,309.23,265.9378
